B1I1|Bat	B1I1|Bat	100.000	1207	0	0	1	1207	1	1207	0.0	2230
B1I1|Bat	B2I2|Bat	95.021	1165	48	10	6	1167	6	1163	0.0	1821
B1I1|Bat	B2I1|Bat	94.093	1202	56	15	7	1203	9	1200	0.0	1812
B1I1|Bat	B3I1|Bat	81.799	967	151	24	8	964	5	956	0.0	787
B1I1|Bat	B6I1|Bat	88.323	334	25	14	873	1203	232	554	7.25e-111	388
B1I1|Bat	B6I1|Bat	93.333	120	4	4	1005	1121	124	242	2.21e-46	174
B1I1|Bat	B5I1|Bat	88.323	334	25	14	873	1203	232	554	7.25e-111	388
B1I1|Bat	B5I1|Bat	93.333	120	4	4	1005	1121	124	242	2.21e-46	174
B1I1|Bat	B4I1|Bat	88.323	334	25	14	873	1203	232	554	7.25e-111	388
B1I1|Bat	B4I1|Bat	93.333	120	4	4	1005	1121	124	242	2.21e-46	174
B1I1|Bat	B7I1|Bat	87.761	335	26	15	873	1203	232	555	1.57e-107	377
B1I1|Bat	B7I1|Bat	93.600	125	4	4	1005	1126	124	247	3.67e-49	183
B2I1|Bat	B2I1|Bat	100.000	1267	0	0	1	1267	1	1267	0.0	2340
B2I1|Bat	B2I2|Bat	96.880	1250	33	6	17	1265	15	1259	0.0	2087
B2I1|Bat	B1I1|Bat	94.093	1202	56	15	9	1200	7	1203	0.0	1812
B2I1|Bat	B6I1|Bat	96.939	392	7	5	876	1266	232	619	0.0	652
B2I1|Bat	B6I1|Bat	92.562	121	4	4	1007	1123	123	242	1.08e-44	169
B2I1|Bat	B5I1|Bat	96.939	392	7	5	876	1266	232	619	0.0	652
B2I1|Bat	B5I1|Bat	92.562	121	4	4	1007	1123	123	242	1.08e-44	169
B2I1|Bat	B4I1|Bat	96.939	392	7	5	876	1266	232	619	0.0	652
B2I1|Bat	B4I1|Bat	92.562	121	4	4	1007	1123	123	242	1.08e-44	169
B2I1|Bat	B7I1|Bat	96.438	393	8	6	876	1266	232	620	0.0	643
B2I1|Bat	B7I1|Bat	92.857	126	4	4	1007	1128	123	247	1.80e-47	178
B2I2|Bat	B2I2|Bat	100.000	1265	0	0	1	1265	1	1265	0.0	2337
